algo,n,time_s,throughput,ipc,llc_miss_pct,instructions,cycles,LLC_loads,LLC_misses
quick,18000,0.010905,1650678.32,1.029,11.137,8220127,7991668,6842,762
quick,19000,0.011424,1663128.58,1.006,10.071,8296810,8248115,7010,706
quick,20000,0.011699,1709501.80,1.012,9.902,8693880,8591615,7049,698
quick,21000,0.012313,1705475.30,1.017,12.153,9012772,8866370,6961,846
quick,22000,0.012071,1822581.17,0.998,10.009,9141376,9156167,7024,703
quick,23000,0.012298,1870211.85,0.998,10.544,9450448,9473102,7018,740
quick,24000,0.013312,1802939.47,1.021,10.143,10002773,9797360,7039,714
quick,25000,0.012840,1947065.97,0.972,13.876,9749408,10035176,7070,981
quick,26000,0.013654,1904173.91,1.024,13.687,10642999,10390060,7043,964
quick,27000,0.013213,2043401.55,0.980,10.844,10422279,10635851,7082,768
quick,28000,0.014799,1892011.68,0.984,12.150,10812656,10991186,7078,860
quick,29000,0.014843,1953754.63,0.975,12.755,10967451,11248344,7056,900
quick,30000,0.013045,2299818.26,0.982,12.228,11341916,11547957,7180,878
quick,31000,0.015552,1993263.28,0.996,12.948,11790399,11836712,7090,918
quick,32000,0.015915,2010744.29,0.962,14.502,11736710,12205142,7075,1026
quick,33000,0.016181,2039416.61,0.986,9.365,12272677,12445053,7186,673
quick,34000,0.016027,2121484.96,0.961,10.153,12280465,12772659,7111,722
quick,35000,0.015756,2221306.34,0.984,8.539,12817206,13023417,7144,610
quick,36000,0.015727,2288984.99,1.003,12.660,13365678,13324766,7251,918
quick,37000,0.016345,2263656.66,1.008,16.658,13805781,13700374,7396,1232
quick,38000,0.017086,2224007.41,0.988,12.792,13766029,13931714,7239,926
quick,39000,0.018422,2117067.77,1.015,11.570,14476240,14259485,7191,832
quick,40000,0.014980,2670138.92,0.978,10.945,14257929,14574224,7154,783
quick,41000,0.018047,2271899.74,0.963,10.907,14354275,14903511,7234,789
quick,42000,0.016316,2574181.95,0.987,9.674,14999513,15193188,7298,706
quick,43000,0.017644,2437053.60,0.989,11.350,15311910,15482732,7260,824
quick,44000,0.018071,2434865.41,1.003,15.500,15947755,15904759,7516,1165
quick,45000,0.017864,2519066.25,0.950,13.036,15291231,16093773,7364,960
quick,46000,0.016287,2824292.30,1.027,10.618,16831634,16382643,7346,780
quick,47000,0.017643,2663977.15,0.995,11.979,16471556,16555155,7171,859
quick,48000,0.017308,2773340.11,0.980,10.987,16698727,17039478,7227,794
quick,49000,0.018438,2657594.83,1.002,9.613,17328530,17285365,7292,701
quick,50000,0.018092,2763650.00,0.947,11.005,16728315,17673151,7297,803
